Feature,Importance
PerClmProcedureCode_2Avg_OPAnnualDeductibleAmt,0.002849355776322689
PerClmDiagnosisCode_4Avg_OPAnnualDeductibleAmt,0.0028303700165918525
IPAnnualDeductibleAmt,0.0028249030617855473
PerOtherPhysicianAvg_IPAnnualDeductibleAmt,0.002804032261555684
PerBeneIDAvg_OPAnnualReimbursementAmt,0.002786449690557554
PerClmDiagnosisCode_3Avg_OPAnnualReimbursementAmt,0.002770022761761308
PerClmDiagnosisCode_1Avg_IPAnnualDeductibleAmt,0.002745111214182895
ClmCount_Provider_ClmDiagnosisCode_5,0.002723111999621847
PerClmProcedureCode_2Avg_DeductibleAmtPaid,0.0027163413302477633
PerClmDiagnosisCode_1Avg_AdmitForDays,0.0027110673162834098
PerAttendingPhysicianAvg_IPAnnualDeductibleAmt,0.0026593222191144293
ClmCount_Provider_ClmDiagnosisCode_3,0.002653080874650485
PerClmDiagnosisCode_4Avg_AdmitForDays,0.002536680930163394
PerClmDiagnosisCode_3Avg_OPAnnualDeductibleAmt,0.002501251541750469
ClmCount_Provider_BeneID_OperatingPhysician,0.002485242490328969
PerBeneIDAvg_IPAnnualDeductibleAmt,0.0024776886641289654
PerDiagnosisGroupCodeAvg_DeductibleAmtPaid,0.002474742019873105
PerProviderAvg_Age,0.002451187515239189
PerClmProcedureCode_2Avg_AdmitForDays,0.002426339895697132
ChronicCond_IschemicHeart,0.0024123191745525105
Race_3,0.002407823646198237
PerBeneIDAvg_OPAnnualDeductibleAmt,0.0024026962905519867
ChronicCond_rheumatoidarthritis,0.002402585234865919
ClmCount_Provider_DiagnosisGroupCode,0.0023962899363636817
PerAttendingPhysicianAvg_OPAnnualDeductibleAmt,0.002387711785946165
PerClmDiagnosisCode_1Avg_OPAnnualReimbursementAmt,0.0023575983449871107
PerClmDiagnosisCode_2Avg_IPAnnualReimbursementAmt,0.0023253823851862882
PerClmProcedureCode_2Avg_IPAnnualReimbursementAmt,0.00231711337986807
ChronicCond_Alzheimer,0.0022899459511542255
ChronicCond_Osteoporasis,0.002260861031308287
PerClmDiagnosisCode_2Avg_IPAnnualDeductibleAmt,0.0022583775397805195
ChronicCond_Cancer,0.0022422837938959454
ClmCount_Provider_ClmDiagnosisCode_2,0.002231867498871327
PerClmDiagnosisCode_3Avg_AdmitForDays,0.002171024390600886
PerClmDiagnosisCode_2Avg_AdmitForDays,0.002143564660692291
ChronicCond_stroke,0.002135308969342582
ChronicCond_Heartfailure,0.0021226931062871416
ClmCount_Provider_ClmDiagnosisCode_1,0.0021048237546504537
PerClmDiagnosisCode_1Avg_IPAnnualReimbursementAmt,0.0020679859980371725
ClmCount_Provider_ClmDiagnosisCode_4,0.001996214757367872
PerClmDiagnosisCode_1Avg_OPAnnualDeductibleAmt,0.0019385700485427659
ClmCount_Provider_BeneID_OtherPhysician,0.0019138446091493434
ChronicCond_KidneyDisease,0.0018885369448687643
PerClmDiagnosisCode_3Avg_IPAnnualDeductibleAmt,0.0018774279523227132
ClmCount_Provider_BeneID_AttendingPhysician_ClmDiagnosisCode_1,0.0017482148940764076
ChronicCond_Depression,0.0017428410950798916
ChronicCond_Diabetes,0.0016566178213292821
PerClmProcedureCode_2Avg_IPAnnualDeductibleAmt,0.0016242777478050541
ClmCount_Provider_ClmProcedureCode_2,0.0016203917273390606
PerProviderAvg_NoOfMonths_PartACov,0.0016035772163438163
ClmCount_Provider,0.0015972237219100916
WhetherDead,0.0015262530176072973
Race_5,0.001511247173527422
Age,0.0014927473005969156
NoOfMonths_PartBCov,0.0014183765564356084
NoOfMonths_PartACov,0.001414160533947352
ClmCount_Provider_BeneID_ClmDiagnosisCode_1,0.001403031263207904
PerProviderAvg_NoOfMonths_PartBCov,0.0013413417641478659
PerClmProcedureCode_3Avg_IPAnnualDeductibleAmt,0.0011401437413160697
PerClmProcedureCode_3Avg_IPAnnualReimbursementAmt,0.0011325457239495028
PerClmProcedureCode_3Avg_OPAnnualDeductibleAmt,0.0009404296654381667
PerClmProcedureCode_3Avg_InscClaimAmtReimbursed,0.0009069463326206813
PerClmProcedureCode_3Avg_AdmitForDays,0.0008366444113167374
PerClmProcedureCode_3Avg_OPAnnualReimbursementAmt,0.0007569143194862423
PerClmProcedureCode_3Avg_DeductibleAmtPaid,0.0005279818797189214
ClmCount_Provider_ClmProcedureCode_3,0.0004829099638350167
ClmCount_Provider_ClmProcedureCode_4,0.00011896153062808062
ClmCount_Provider_ClmProcedureCode_5,1.9745104569831575e-05
